ID,行为名称,执行者用户id,执行用户,执行行为者ip,请求域名,请求模块,请求控制器,请求操作,请求类型,请求参数,详细信息,生成时间
781,b2b2c_goods_class_edit,,,127.0.0.1,http://www.wd.com,b2b2c,GoodsClass,edit,json,"{""id"":""1"",""pid"":""0"",""name"":""阿三大苏打去"",""sort"":""1"",""commis_rate"":""12"",""keywords"":""啊实打实大大"",""dc"":""阿斯顿"",""extend_field"":""commis_rate"",""extend_action"":""true""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/GoodsClass\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'cache-control' => 'no-cache',\n  'pragma' => 'no-cache',\n  'content-length' => '231',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '1',\n  'pid' => '0',\n  'name' => '阿三大苏打去',\n  'sort' => '1',\n  'commis_rate' => '12',\n  'keywords' => '啊实打实大大',\n  'dc' => '阿斯顿',\n  'extend_field' => 'commis_rate',\n  'extend_action' => 'true',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011011s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_goods_class` [ RunTime:0.007795s ]"",""[ SQL ] UPDATE `dp_b2b2c_goods_class`  SET `commis_rate` = 12  WHERE  `id` = 1 [ RunTime:0.000360s ]""]}",1575172842
782,b2b2c_goods_class_edit,,,127.0.0.1,http://www.wd.com,b2b2c,GoodsClass,edit,json,"{""id"":""3"",""name"":""sas1"",""keywords"":""asda"",""commis_rate"":""1"",""sort"":""1"",""dc"":""asdasd""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/GoodsClass\/edit.html?id=3',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryEK3fw2NtvBkPaRvT',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'cache-control' => 'no-cache',\n  'pragma' => 'no-cache',\n  'content-length' => '614',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '3',\n  'name' => 'sas1',\n  'keywords' => 'asda',\n  'commis_rate' => '1',\n  'sort' => '1',\n  'dc' => 'asdasd',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011116s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_goods_class` [ RunTime:0.006536s ]"",""[ SQL ] UPDATE `dp_b2b2c_goods_class`  SET `name` = 'sas1' , `keywords` = 'asda' , `commis_rate` = 1 , `sort` = 1 , `dc` = 'asdasd'  WHERE  `id` = 3 [ RunTime:0.000318s ]""]}",1575172999
783,b2b2c_goods_class_edit,,,127.0.0.1,http://www.wd.com,b2b2c,GoodsClass,edit,json,"{""id"":""3"",""name"":""sas1"",""keywords"":""asda"",""commis_rate"":""1"",""sort"":""1"",""dc"":""asdasd""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/GoodsClass\/edit.html?id=3',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundary5yNJNu3xB7rD4KoY',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '614',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '3',\n  'name' => 'sas1',\n  'keywords' => 'asda',\n  'commis_rate' => '1',\n  'sort' => '1',\n  'dc' => 'asdasd',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011882s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_goods_class` [ RunTime:0.007470s ]"",""[ SQL ] UPDATE `dp_b2b2c_goods_class`  SET `name` = 'sas1' , `keywords` = 'asda' , `commis_rate` = 1 , `sort` = 1 , `dc` = 'asdasd'  WHERE  `id` = 3 [ RunTime:0.000356s ]""]}",1575174625
784,b2b2c_goods_class_edit,,,127.0.0.1,http://www.wd.com,b2b2c,GoodsClass,edit,json,"{""id"":""3"",""name"":""sas1"",""keywords"":""asda"",""commis_rate"":""1"",""sort"":""1"",""dc"":""asdasd""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/GoodsClass\/edit.html?id=3',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryXokTLhm4VKj1CAEc',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '614',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '3',\n  'name' => 'sas1',\n  'keywords' => 'asda',\n  'commis_rate' => '1',\n  'sort' => '1',\n  'dc' => 'asdasd',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011165s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_goods_class` [ RunTime:0.007548s ]"",""[ SQL ] UPDATE `dp_b2b2c_goods_class`  SET `name` = 'sas1' , `keywords` = 'asda' , `commis_rate` = 1 , `sort` = 1 , `dc` = 'asdasd'  WHERE  `id` = 3 [ RunTime:0.000332s ]""]}",1575174630
785,menu_add,,,127.0.0.1,http://www.wd.com,admin,Menu,add,json,"{""module"":""b2b2c"",""pid"":""7431"",""title"":""分类标签管理"",""mark"":""goods_class_tag"",""url_value"":""b2b2c\/goods_class_tag\/index"",""params"":"""",""url_target"":""_self"",""system_menu"":""0"",""is_hide"":""1"",""icon"":"""",""remarks"":"""",""sort"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/add.html?id=7431&module=b2b2c',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryJ13v4wAMZiRdS1Oz',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1240',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'module' => 'b2b2c',\n  'pid' => '7431',\n  'title' => '分类标签管理',\n  'mark' => 'goods_class_tag',\n  'url_value' => 'b2b2c\/goods_class_tag\/index',\n  'params' => '',\n  'url_target' => '_self',\n  'system_menu' => '0',\n  'is_hide' => '1',\n  'icon' => '',\n  'remarks' => '',\n  'sort' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.001373s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.007026s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'goods_class_tag' LIMIT 1 [ RunTime:0.000418s ]"",""[ SQL ] INSERT INTO `dp_admin_menu` (`module` , `pid` , `title` , `mark` , `url_value` , `params` , `url_target` , `system_menu` , `is_hide` , `icon` , `sort` , `create_time` , `update_time`) VALUES ('b2b2c' , 7431 , '分类标签管理' , 'goods_class_tag' , 'b2b2c\/goods_class_tag\/index' , '' , '_self' , 0 , 1 , '' , 0 , 1575186479 , 1575186479) [ RunTime:0.000524s ]""]}",1575186479
786,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""7440"",""pid"":""7431"",""module"":""b2b2c"",""title"":""分类标签管理"",""mark"":""b2b2c_goods_class_tag"",""icon"":"""",""url_value"":""b2b2c\/goods_class_tag\/index"",""url_target"":""_self"",""params"":"""",""sort"":""0"",""system_menu"":""0"",""is_hide"":""1"",""status"":""1"",""create_time"":""1575186479"",""update_time"":""1575186479"",""_level"":""2"",""_last"":""1"",""extend_field"":""mark"",""extend_action"":""true"",""group"":""b2b2c""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index\/group\/b2b2c.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '330',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '7440',\n  'pid' => '7431',\n  'module' => 'b2b2c',\n  'title' => '分类标签管理',\n  'mark' => 'b2b2c_goods_class_tag',\n  'icon' => '',\n  'url_value' => 'b2b2c\/goods_class_tag\/index',\n  'url_target' => '_self',\n  'params' => '',\n  'sort' => '0',\n  'system_menu' => '0',\n  'is_hide' => '1',\n  'status' => '1',\n  'create_time' => '1575186479',\n  'update_time' => '1575186479',\n  '_level' => '2',\n  '_last' => '1',\n  'extend_field' => 'mark',\n  'extend_action' => 'true',\n  'group' => 'b2b2c',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000641s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.006813s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'b2b2c_goods_class_tag'  AND `id` <> 7440 LIMIT 1 [ RunTime:0.000531s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 7440 LIMIT 1 [ RunTime:0.000360s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `mark` = 'b2b2c_goods_class_tag'  WHERE  `id` = 7440 [ RunTime:0.001953s ]""]}",1575186501
787,menu_add,,,127.0.0.1,http://www.wd.com,admin,Menu,add,json,"{""module"":""b2b2c"",""pid"":""7440"",""title"":""编辑"",""mark"":""b2b2c_goods_class_tag_edit"",""url_value"":""b2b2c\/goods_class_tag\/edit"",""params"":"""",""url_target"":""_self"",""system_menu"":""0"",""is_hide"":""1"",""icon"":"""",""remarks"":"""",""sort"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/add.html?id=7440&module=b2b2c',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryI81Rae1km8iyTmpx',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1238',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'module' => 'b2b2c',\n  'pid' => '7440',\n  'title' => '编辑',\n  'mark' => 'b2b2c_goods_class_tag_edit',\n  'url_value' => 'b2b2c\/goods_class_tag\/edit',\n  'params' => '',\n  'url_target' => '_self',\n  'system_menu' => '0',\n  'is_hide' => '1',\n  'icon' => '',\n  'remarks' => '',\n  'sort' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000731s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.006424s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'b2b2c_goods_class_tag_edit' LIMIT 1 [ RunTime:0.000421s ]"",""[ SQL ] INSERT INTO `dp_admin_menu` (`module` , `pid` , `title` , `mark` , `url_value` , `params` , `url_target` , `system_menu` , `is_hide` , `icon` , `sort` , `create_time` , `update_time`) VALUES ('b2b2c' , 7440 , '编辑' , 'b2b2c_goods_class_tag_edit' , 'b2b2c\/goods_class_tag\/edit' , '' , '_self' , 0 , 1 , '' , 0 , 1575186677 , 1575186677) [ RunTime:0.000407s ]""]}",1575186677
788,menu_add,,,127.0.0.1,http://www.wd.com,admin,Menu,add,json,"{""module"":""b2b2c"",""pid"":""7440"",""title"":""更新"",""mark"":""b2b2c_goods_class_tag_reset"",""url_value"":""b2b2c\/goods_class_tag\/reset"",""params"":"""",""url_target"":""_self"",""system_menu"":""0"",""is_hide"":""1"",""icon"":"""",""remarks"":"""",""sort"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/add.html?id=7440&module=b2b2c',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryk8RSNz66HrS6hUCb',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1240',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'module' => 'b2b2c',\n  'pid' => '7440',\n  'title' => '更新',\n  'mark' => 'b2b2c_goods_class_tag_reset',\n  'url_value' => 'b2b2c\/goods_class_tag\/reset',\n  'params' => '',\n  'url_target' => '_self',\n  'system_menu' => '0',\n  'is_hide' => '1',\n  'icon' => '',\n  'remarks' => '',\n  'sort' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.001426s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.007192s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `mark` = 'b2b2c_goods_class_tag_reset' LIMIT 1 [ RunTime:0.000478s ]"",""[ SQL ] INSERT INTO `dp_admin_menu` (`module` , `pid` , `title` , `mark` , `url_value` , `params` , `url_target` , `system_menu` , `is_hide` , `icon` , `sort` , `create_time` , `update_time`) VALUES ('b2b2c' , 7440 , '更新' , 'b2b2c_goods_class_tag_reset' , 'b2b2c\/goods_class_tag\/reset' , '' , '_self' , 0 , 1 , '' , 0 , 1575187118 , 1575187118) [ RunTime:0.000532s ]""]}",1575187118
789,b2b2c_goods_class_edit,,,127.0.0.1,http://www.wd.com,b2b2c,GoodsClass,edit,json,"{""id"":""1"",""pid"":""0"",""name"":""服饰鞋帽1"",""keywords"":"""",""commis_rate"":""0"",""sort"":""255"",""dc"":"""",""extend_field"":""name"",""extend_action"":""true""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/GoodsClass\/index\/id\/0.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'cache-control' => 'no-cache',\n  'pragma' => 'no-cache',\n  'content-length' => '127',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '1',\n  'pid' => '0',\n  'name' => '服饰鞋帽1',\n  'keywords' => '',\n  'commis_rate' => '0',\n  'sort' => '255',\n  'dc' => '',\n  'extend_field' => 'name',\n  'extend_action' => 'true',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011180s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_goods_class` [ RunTime:0.012417s ]"",""[ SQL ] UPDATE `dp_b2b2c_goods_class`  SET `name` = '服饰鞋帽1'  WHERE  `id` = 1 [ RunTime:0.000458s ]""]}",1575194448
790,b2b2c_goods_class_edit,,,127.0.0.1,http://www.wd.com,b2b2c,GoodsClass,edit,json,"{""id"":""1"",""pid"":""0"",""name"":""服饰鞋帽"",""keywords"":"""",""commis_rate"":""0"",""sort"":""255"",""dc"":"""",""extend_field"":""name"",""extend_action"":""true""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/GoodsClass\/index\/id\/0.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'cache-control' => 'no-cache',\n  'pragma' => 'no-cache',\n  'content-length' => '126',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '1',\n  'pid' => '0',\n  'name' => '服饰鞋帽',\n  'keywords' => '',\n  'commis_rate' => '0',\n  'sort' => '255',\n  'dc' => '',\n  'extend_field' => 'name',\n  'extend_action' => 'true',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.010875s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_goods_class` [ RunTime:0.008394s ]"",""[ SQL ] UPDATE `dp_b2b2c_goods_class`  SET `name` = '服饰鞋帽'  WHERE  `id` = 1 [ RunTime:0.000429s ]""]}",1575194451
791,b2b2c_goods_class_add,,,127.0.0.1,http://www.wd.com,b2b2c,GoodsClass,add,json,"{""pid"":""0"",""name"":""啊实打实"",""keywords"":""阿三大苏打"",""commis_rate"":""123"",""sort"":""1"",""dc"":""1""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/b2b2c\/GoodsClass\/add.html?batch_data=',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryoPq43i8i4BjSYJVj',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '631',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'pid' => '0',\n  'name' => '啊实打实',\n  'keywords' => '阿三大苏打',\n  'commis_rate' => '123',\n  'sort' => '1',\n  'dc' => '1',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.012199s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_b2b2c_goods_class` [ RunTime:0.012489s ]"",""[ SQL ] INSERT INTO `dp_b2b2c_goods_class` (`pid` , `name` , `keywords` , `commis_rate` , `sort` , `dc`) VALUES (0 , '啊实打实' , '阿三大苏打' , 123 , 1 , '1') [ RunTime:0.000382s ]""]}",1575194708
